,equity,delta
2015-09-21,-4334.0,-1.0
2015-09-22,-3321.5,-1.0
2015-09-23,-3071.5,-1.0
2015-09-24,-2721.5,-1.0
2015-09-25,-2746.5,-1.0
2015-09-28,-446.5,-1.0
2015-09-29,28.5,-1.0
2015-09-30,-2084.0,-1.0
2015-10-01,-2096.5,-1.0
2015-10-02,-3496.5,-1.0
2015-10-05,-5509.0,-1.0
2015-10-06,-5234.0,-1.0
2015-10-07,-5871.5,-1.0
2015-10-08,-6884.0,-1.0
2015-10-09,-7021.5,-1.0
2015-10-13,-6399.5,0.0
2015-10-14,-6399.5,0.0
2015-10-15,-6399.5,0.0
2015-10-16,-6399.5,0.0
2015-10-19,-6399.5,0.0
2015-10-20,-6399.5,0.0
2015-10-21,-6399.5,0.0
2015-10-22,-6399.5,0.0
2015-10-23,-6399.5,0.0
2015-10-26,-6399.5,0.0
2015-10-27,-6399.5,0.0
2015-10-28,-6399.5,0.0
2015-10-29,-6399.5,0.0
2015-10-30,-6399.5,0.0
2015-11-02,-6399.5,0.0
2015-11-03,-6399.5,0.0
2015-11-04,-6399.5,0.0
2015-11-05,-6399.5,0.0
2015-11-06,-6399.5,0.0
2015-11-09,-6399.5,0.0
2015-11-10,-6399.5,0.0
2015-11-12,-6399.5,0.0
2015-11-13,-6399.5,0.0
2015-11-16,-6402.5,-1.0
2015-11-17,-6527.5,-1.0
2015-11-18,-7968.0,0.0
2015-11-19,-7968.0,0.0
2015-11-20,-7968.0,0.0
2015-11-23,-7968.0,0.0
2015-11-24,-7968.0,0.0
2015-11-25,-7968.0,0.0
2015-11-27,-7968.0,0.0
2015-11-30,-7968.0,0.0
2015-12-01,-7968.0,0.0
2015-12-02,-7968.0,0.0
2015-12-03,-7968.0,0.0
2015-12-04,-7968.0,0.0
2015-12-07,-7968.0,0.0
2015-12-08,-7968.0,0.0
2015-12-09,-7968.0,0.0
2015-12-10,-7968.0,0.0
2015-12-11,-7968.0,0.0
2015-12-14,-7968.0,0.0
2015-12-15,-7971.0,-1.0
2015-12-16,-9552.0,-1.0
2015-12-17,-8252.0,-1.0
2015-12-18,-6389.5,-1.0
2015-12-21,-6427.0,-1.0
2015-12-22,-7589.5,-1.0
2015-12-23,-8992.5,0.0
2015-12-24,-8992.5,0.0
2015-12-28,-8992.5,0.0
2015-12-29,-8992.5,0.0
2015-12-30,-8992.5,0.0
2015-12-31,-8992.5,0.0
2016-01-04,-8995.5,-1.0
2016-01-05,-9545.5,-1.0
2016-01-06,-8220.5,-1.0
2016-01-07,-6108.0,-1.0
2016-01-08,-5070.5,-1.0
2016-01-11,-5133.0,-1.0
2016-01-12,-5870.5,-1.0
2016-01-13,-3470.5,-1.0
2016-01-14,-5083.0,-1.0
2016-01-15,-2770.5,-1.0
2016-01-19,-2970.5,-1.0
2016-01-20,-1833.0,-1.0
2016-01-21,-2558.0,-1.0
2016-01-22,-4095.5,-1.0
2016-01-25,-2658.0,-1.0
2016-01-26,-3933.0,-1.0
2016-01-27,-2920.5,-1.0
2016-01-28,-3458.0,-1.0
2016-01-29,-5545.5,-1.0
2016-02-01,-5983.0,-1.0
2016-02-02,-3883.0,-1.0
2016-02-03,-4333.0,-1.0
2016-02-04,-4545.5,-1.0
2016-02-05,-2720.5,-1.0
2016-02-08,-1633.0,-1.0
2016-02-09,-1495.5,-1.0
2016-02-10,-1583.0,-1.0
2016-02-11,-758.0,-1.0
2016-02-12,-2095.5,-1.0
2016-02-16,-3495.5,-1.0
2016-02-17,-5333.0,-1.0
2016-02-18,-4795.5,-1.0
2016-02-19,-4783.0,-1.0
2016-02-22,-6223.5,0.0
2016-02-23,-6223.5,0.0
2016-02-24,-6223.5,0.0
2016-02-25,-6223.5,0.0
2016-02-26,-6223.5,0.0
2016-02-29,-6223.5,0.0
2016-03-01,-6223.5,0.0
2016-03-02,-6223.5,0.0
2016-03-03,-6223.5,0.0
2016-03-04,-6223.5,0.0
2016-03-07,-6223.5,0.0
2016-03-08,-6223.5,0.0
2016-03-09,-6223.5,0.0
2016-03-10,-6223.5,0.0
2016-03-11,-6223.5,0.0
2016-03-14,-6223.5,0.0
2016-03-15,-6223.5,0.0
2016-03-16,-6223.5,0.0
2016-03-17,-6223.5,0.0
2016-03-18,-6223.5,0.0
2016-03-21,-6223.5,0.0
2016-03-22,-6223.5,0.0
2016-03-23,-6223.5,0.0
2016-03-24,-6223.5,0.0
2016-03-25,-6223.5,0.0
2016-03-28,-6223.5,0.0
2016-03-29,-6223.5,0.0
2016-03-30,-6223.5,0.0
2016-03-31,-6223.5,0.0
2016-04-01,-6223.5,0.0
2016-04-04,-6223.5,0.0
2016-04-05,-6223.5,0.0
2016-04-06,-6223.5,0.0
2016-04-07,-6223.5,0.0
2016-04-08,-6223.5,0.0
2016-04-11,-6226.5,-1.0
2016-04-12,-7064.0,-1.0
2016-04-13,-8164.0,-1.0
2016-04-14,-8251.5,-1.0
2016-04-15,-8064.0,-1.0
2016-04-18,-8767.0,0.0
2016-04-19,-8767.0,0.0
2016-04-20,-8767.0,0.0
2016-04-21,-8767.0,0.0
2016-04-22,-8767.0,0.0
2016-04-25,-8767.0,0.0
2016-04-26,-8767.0,0.0
2016-04-27,-8767.0,0.0
2016-04-28,-8767.0,0.0
2016-04-29,-8767.0,0.0
2016-05-02,-8767.0,0.0
2016-05-03,-8767.0,0.0
2016-05-04,-8767.0,0.0
2016-05-05,-8767.0,0.0
2016-05-06,-8767.0,0.0
2016-05-09,-8770.0,-1.0
2016-05-10,-9960.5,0.0
2016-05-11,-9963.5,-1.0
2016-05-12,-9951.0,-1.0
2016-05-13,-9038.5,-1.0
2016-05-16,-10051.0,-1.0
2016-05-17,-8938.5,-1.0
2016-05-18,-8876.0,-1.0
2016-05-19,-8738.5,-1.0
2016-05-20,-9241.5,0.0
2016-05-23,-9244.5,-1.0
2016-05-24,-10594.5,-1.0
2016-05-25,-11332.0,-1.0
2016-05-26,-11332.0,-1.0
