,equity
2012-03-29,-1646.0
2012-03-30,-1646.0
2012-04-02,-1646.0
2012-04-03,-1646.0
2012-04-04,-1646.0
2012-04-05,-1646.0
2012-04-06,-1646.0
2012-04-09,-1646.0
2012-04-10,-1646.0
2012-04-11,-1646.0
2012-04-12,-1646.0
2012-04-13,-1646.0
2012-04-16,-1649.0
2012-04-17,-1999.0
2012-04-18,-2949.0
2012-04-19,-2499.0
2012-04-20,-2499.0
2012-04-23,-3049.0
2012-04-24,-2402.0
2012-04-25,-2405.0
2012-04-26,-3408.0
2012-04-27,-3411.0
2012-04-30,-3564.0
2012-05-01,-3564.0
2012-05-02,-3564.0
2012-05-03,-3564.0
2012-05-04,-3564.0
2012-05-07,-3564.0
2012-05-08,-3564.0
2012-05-09,-3564.0
2012-05-10,-3564.0
2012-05-11,-3564.0
2012-05-14,-3567.0
2012-05-15,-2170.0
2012-05-16,-2170.0
2012-05-17,-2170.0
2012-05-18,-2170.0
2012-05-21,-2170.0
2012-05-22,-2170.0
2012-05-23,-2173.0
2012-05-24,-2326.0
2012-05-25,-2326.0
2012-05-29,-2326.0
2012-05-30,-2326.0
2012-05-31,-2329.0
2012-06-01,-2029.0
2012-06-04,-282.0
2012-06-05,-282.0
2012-06-06,-285.0
2012-06-07,-2485.0
2012-06-08,-2835.0
2012-06-11,-4188.0
2012-06-12,-4188.0
2012-06-13,-4188.0
2012-06-14,-4188.0
2012-06-15,-4188.0
2012-06-18,-4191.0
2012-06-19,-6691.0
2012-06-20,-7247.0
2012-06-21,-8247.0
2012-06-22,-6547.0
2012-06-25,-7100.0
2012-06-26,-7100.0
2012-06-27,-7100.0
2012-06-28,-7100.0
2012-06-29,-7100.0
2012-07-02,-7100.0
2012-07-03,-7100.0
2012-07-05,-7100.0
2012-07-06,-7100.0
2012-07-09,-7100.0
2012-07-10,-7100.0
2012-07-11,-7100.0
2012-07-12,-7100.0
2012-07-13,-7100.0
2012-07-16,-7100.0
2012-07-17,-7100.0
2012-07-18,-7100.0
2012-07-19,-7100.0
2012-07-20,-7100.0
2012-07-23,-7100.0
2012-07-24,-7100.0
2012-07-25,-7100.0
2012-07-26,-7100.0
2012-07-27,-7100.0
2012-07-30,-7100.0
2012-07-31,-7100.0
2012-08-01,-7100.0
2012-08-02,-7100.0
2012-08-03,-7100.0
2012-08-06,-7100.0
2012-08-07,-7100.0
2012-08-08,-7100.0
2012-08-09,-7100.0
2012-08-10,-7100.0
2012-08-13,-7100.0
2012-08-14,-7100.0
2012-08-15,-7100.0
2012-08-16,-7100.0
2012-08-17,-7100.0
2012-08-20,-7100.0
2012-08-21,-7100.0
2012-08-22,-7100.0
2012-08-23,-7100.0
2012-08-24,-7100.0
2012-08-27,-7100.0
2012-08-28,-7100.0
2012-08-29,-7100.0
2012-08-30,-7100.0
2012-08-31,-7100.0
2012-09-04,-7100.0
2012-09-05,-7100.0
2012-09-06,-7100.0
2012-09-07,-7100.0
2012-09-10,-7100.0
2012-09-11,-7100.0
2012-09-12,-7100.0
2012-09-13,-7100.0
2012-09-14,-7100.0
2012-09-17,-7100.0
2012-09-18,-7100.0
2012-09-19,-7100.0
2012-09-20,-7100.0
2012-09-21,-7100.0
2012-09-24,-7100.0
2012-09-25,-7100.0
2012-09-26,-7100.0
2012-09-27,-7100.0
2012-09-28,-7100.0
2012-10-01,-7100.0
2012-10-02,-7100.0
2012-10-03,-7100.0
2012-10-04,-7100.0
2012-10-05,-7100.0
2012-10-09,-7100.0
2012-10-10,-7100.0
2012-10-11,-7100.0
2012-10-12,-7100.0
2012-10-15,-7100.0
2012-10-16,-7100.0
2012-10-17,-7100.0
2012-10-18,-7100.0
2012-10-19,-7100.0
2012-10-22,-7100.0
2012-10-23,-7100.0
2012-10-24,-7100.0
2012-10-25,-7100.0
2012-10-26,-7100.0
2012-10-29,-7100.0
2012-10-30,-7100.0
2012-10-31,-7100.0
2012-11-01,-7100.0
2012-11-02,-7100.0
2012-11-05,-7100.0
2012-11-06,-7100.0
2012-11-07,-7100.0
2012-11-08,-7100.0
2012-11-09,-7100.0
2012-11-13,-7100.0
2012-11-14,-7100.0
2012-11-15,-7100.0
2012-11-16,-7100.0
2012-11-19,-7100.0
2012-11-20,-7100.0
2012-11-21,-7100.0
2012-11-23,-7100.0
2012-11-26,-7100.0
2012-11-27,-7100.0
2012-11-28,-7100.0
2012-11-29,-7100.0
2012-11-30,-7100.0
2012-12-03,-7100.0
2012-12-04,-7100.0
2012-12-05,-7100.0
2012-12-06,-7100.0
2012-12-07,-7100.0
2012-12-10,-7100.0
2012-12-11,-7100.0
2012-12-12,-7100.0
2012-12-13,-7100.0
2012-12-14,-7100.0
2012-12-17,-7100.0
2012-12-18,-7100.0
2012-12-19,-7100.0
2012-12-20,-7100.0
2012-12-21,-7100.0
2012-12-24,-7100.0
2012-12-26,-7100.0
2012-12-27,-7100.0
2012-12-28,-7100.0
2012-12-31,-7100.0
2013-01-02,-7100.0
2013-01-03,-7100.0
2013-01-04,-7100.0
2013-01-07,-7100.0
2013-01-08,-7100.0
2013-01-09,-7100.0
2013-01-10,-7100.0
2013-01-11,-7100.0
2013-01-14,-7100.0
2013-01-15,-7100.0
2013-01-16,-7100.0
2013-01-17,-7100.0
2013-01-18,-7100.0
2013-01-22,-7100.0
2013-01-23,-7100.0
2013-01-24,-7100.0
2013-01-25,-7100.0
2013-01-28,-7100.0
2013-01-29,-7100.0
2013-01-30,-7100.0
2013-01-31,-7100.0
2013-02-01,-7100.0
2013-02-04,-7100.0
2013-02-05,-7100.0
2013-02-06,-7100.0
2013-02-07,-7100.0
2013-02-08,-7100.0
2013-02-11,-7100.0
2013-02-12,-7100.0
2013-02-13,-7100.0
2013-02-14,-7100.0
2013-02-15,-7100.0
2013-02-19,-7100.0
2013-02-20,-7100.0
2013-02-21,-7100.0
2013-02-22,-7100.0
2013-02-25,-7100.0
2013-02-26,-7100.0
2013-02-27,-7100.0
2013-02-28,-7100.0
2013-03-01,-7100.0
2013-03-04,-7100.0
2013-03-05,-7100.0
2013-03-06,-7100.0
2013-03-07,-7100.0
2013-03-08,-7100.0
2013-03-11,-7100.0
2013-03-12,-7100.0
2013-03-13,-7100.0
2013-03-14,-7100.0
2013-03-15,-7100.0
2013-03-18,-7100.0
2013-03-19,-7100.0
2013-03-20,-7100.0
2013-03-21,-7100.0
2013-03-22,-7100.0
2013-03-25,-7100.0
2013-03-26,-7100.0
2013-03-27,-7100.0
2013-03-28,-7100.0
2013-03-29,-7100.0
2013-04-01,-7100.0
2013-04-02,-7100.0
2013-04-03,-7100.0
2013-04-04,-7100.0
2013-04-05,-7100.0
2013-04-08,-7100.0
2013-04-09,-7100.0
2013-04-10,-7100.0
2013-04-11,-7100.0
2013-04-12,-7100.0
2013-04-15,-7100.0
2013-04-16,-7100.0
2013-04-17,-7100.0
2013-04-18,-7100.0
2013-04-19,-7100.0
2013-04-22,-7100.0
2013-04-23,-7100.0
2013-04-24,-7100.0
2013-04-25,-7100.0
2013-04-26,-7100.0
2013-04-29,-7100.0
2013-04-30,-7100.0
2013-05-01,-7100.0
2013-05-02,-7100.0
2013-05-03,-7100.0
2013-05-06,-7100.0
2013-05-07,-7100.0
2013-05-08,-7100.0
2013-05-09,-7100.0
2013-05-10,-7100.0
2013-05-13,-7100.0
2013-05-14,-7100.0
2013-05-15,-7100.0
2013-05-16,-7100.0
2013-05-17,-7100.0
2013-05-20,-7100.0
2013-05-21,-7103.0
2013-05-22,-6806.0
2013-05-23,-6806.0
2013-05-24,-6806.0
2013-05-28,-6806.0
2013-05-29,-6809.0
2013-05-30,-6559.0
2013-05-31,-6559.0
2013-06-03,-5912.0
2013-06-04,-5912.0
2013-06-05,-5912.0
2013-06-06,-5912.0
2013-06-07,-5912.0
2013-06-10,-5915.0
2013-06-11,-6115.0
2013-06-12,-4815.0
2013-06-13,-3468.0
2013-06-14,-3468.0
2013-06-17,-3471.0
2013-06-18,-4077.0
2013-06-19,-4177.0
2013-06-20,-4127.0
2013-06-21,-3130.0
2013-06-24,-3130.0
2013-06-25,-3130.0
2013-06-26,-3130.0
2013-06-27,-3133.0
2013-06-28,-3633.0
2013-07-01,-3683.0
2013-07-02,-4133.0
2013-07-03,-4033.0
2013-07-05,-4183.0
2013-07-08,-4783.0
2013-07-09,-5633.0
2013-07-10,-5736.0
2013-07-11,-5736.0
2013-07-12,-5739.0
2013-07-15,-5639.0
2013-07-16,-5989.0
2013-07-17,-5489.0
2013-07-18,-5992.0
2013-07-19,-5992.0
2013-07-22,-5995.0
2013-07-23,-6295.0
2013-07-24,-6345.0
2013-07-25,-6295.0
2013-07-26,-6598.0
2013-07-29,-6598.0
2013-07-30,-6601.0
2013-07-31,-6854.0
2013-08-01,-6854.0
2013-08-02,-6857.0
2013-08-05,-7260.0
2013-08-06,-7260.0
2013-08-07,-7263.0
2013-08-08,-7063.0
2013-08-09,-7263.0
2013-08-12,-6916.0
2013-08-13,-6916.0
2013-08-14,-6916.0
2013-08-15,-6919.0
2013-08-16,-6319.0
2013-08-19,-6472.0
2013-08-20,-6475.0
2013-08-21,-6778.0
2013-08-22,-6778.0
2013-08-23,-6778.0
2013-08-26,-6781.0
2013-08-27,-6131.0
2013-08-28,-4784.0
2013-08-29,-4784.0
2013-08-30,-4784.0
2013-09-03,-4784.0
2013-09-04,-4787.0
2013-09-05,-4937.0
2013-09-06,-5237.0
2013-09-09,-5137.0
2013-09-10,-5837.0
2013-09-11,-6487.0
2013-09-12,-7087.0
2013-09-13,-6837.0
2013-09-16,-6837.0
2013-09-17,-6943.0
2013-09-18,-7043.0
2013-09-19,-7443.0
2013-09-20,-7293.0
2013-09-23,-7043.0
2013-09-24,-6796.0
2013-09-25,-6796.0
2013-09-26,-6799.0
2013-09-27,-7099.0
2013-09-30,-6749.0
2013-10-01,-6302.0
2013-10-02,-6302.0
2013-10-03,-6305.0
2013-10-04,-5808.0
2013-10-07,-5808.0
2013-10-08,-5808.0
2013-10-09,-5808.0
2013-10-10,-5808.0
2013-10-11,-5808.0
2013-10-15,-5808.0
2013-10-16,-5808.0
2013-10-17,-5808.0
2013-10-18,-5811.0
2013-10-21,-6161.0
2013-10-22,-5911.0
2013-10-23,-5861.0
2013-10-24,-5861.0
2013-10-25,-5961.0
2013-10-28,-5914.0
2013-10-29,-5914.0
2013-10-30,-5914.0
2013-10-31,-5917.0
2013-11-01,-5990.0
2013-11-04,-5990.0
2013-11-05,-5990.0
2013-11-06,-5993.0
2013-11-07,-6246.0
2013-11-08,-6249.0
2013-11-12,-6852.0
2013-11-13,-6855.0
2013-11-14,-7025.0
2013-11-15,-7105.0
2013-11-18,-7305.0
2013-11-19,-7305.0
2013-11-20,-7105.0
2013-11-21,-7455.0
2013-11-22,-7858.0
2013-11-25,-7858.0
2013-11-26,-7858.0
2013-11-27,-7858.0
2013-11-29,-7858.0
2013-12-02,-7858.0
2013-12-03,-7858.0
2013-12-04,-7858.0
2013-12-05,-7858.0
2013-12-06,-7858.0
2013-12-09,-7858.0
2013-12-10,-7858.0
2013-12-11,-7858.0
2013-12-12,-7858.0
2013-12-13,-7858.0
2013-12-16,-7858.0
2013-12-17,-7858.0
2013-12-18,-7858.0
2013-12-19,-7858.0
2013-12-20,-7858.0
2013-12-23,-7858.0
2013-12-24,-7858.0
2013-12-26,-7858.0
2013-12-27,-7858.0
2013-12-30,-7858.0
2013-12-31,-7858.0
2014-01-02,-7858.0
2014-01-03,-7858.0
2014-01-06,-7858.0
2014-01-07,-7861.0
2014-01-08,-8124.0
2014-01-09,-8124.0
2014-01-10,-8124.0
2014-01-13,-8124.0
2014-01-14,-8124.0
2014-01-15,-8124.0
2014-01-16,-8127.0
2014-01-17,-8050.0
2014-01-21,-8050.0
2014-01-22,-8053.0
2014-01-23,-8253.0
2014-01-24,-8103.0
2014-01-27,-7236.0
2014-01-28,-7236.0
2014-01-29,-7236.0
2014-01-30,-7236.0
2014-01-31,-7236.0
2014-02-03,-7236.0
2014-02-04,-7236.0
2014-02-05,-7239.0
2014-02-06,-7012.0
2014-02-07,-7015.0
2014-02-10,-8015.0
2014-02-11,-8185.0
2014-02-12,-8765.0
2014-02-13,-8715.0
2014-02-14,-8918.0
2014-02-18,-8918.0
2014-02-19,-8918.0
2014-02-20,-8918.0
2014-02-21,-8918.0
2014-02-24,-8921.0
2014-02-25,-9021.0
2014-02-26,-9271.0
2014-02-27,-8824.0
2014-02-28,-8824.0
2014-03-03,-8824.0
2014-03-04,-8824.0
2014-03-05,-8827.0
2014-03-06,-8920.0
2014-03-07,-8920.0
2014-03-10,-8920.0
2014-03-11,-8920.0
2014-03-12,-8923.0
2014-03-13,-9276.0
2014-03-14,-9276.0
2014-03-17,-9276.0
2014-03-18,-9276.0
2014-03-19,-9279.0
2014-03-20,-9042.0
2014-03-21,-9042.0
2014-03-24,-9045.0
2014-03-25,-8998.0
2014-03-26,-8998.0
2014-03-27,-8998.0
2014-03-28,-8998.0
2014-03-31,-9001.0
2014-04-01,-9374.0
2014-04-02,-9374.0
2014-04-03,-9374.0
2014-04-04,-9374.0
2014-04-07,-9374.0
2014-04-08,-9374.0
2014-04-09,-9374.0
2014-04-10,-9377.0
2014-04-11,-8830.0
2014-04-14,-8830.0
2014-04-15,-8830.0
2014-04-16,-8833.0
2014-04-17,-9036.0
2014-04-18,-9036.0
2014-04-21,-9036.0
2014-04-22,-9036.0
2014-04-23,-9036.0
2014-04-24,-9036.0
2014-04-25,-9036.0
2014-04-28,-9036.0
2014-04-29,-9036.0
2014-04-30,-9039.0
2014-05-01,-8942.0
2014-05-02,-8942.0
2014-05-05,-8942.0
2014-05-06,-8942.0
2014-05-07,-8945.0
2014-05-08,-9348.0
2014-05-09,-9348.0
2014-05-12,-9348.0
2014-05-13,-9348.0
2014-05-14,-9351.0
2014-05-15,-9421.0
2014-05-16,-9201.0
2014-05-19,-9454.0
2014-05-20,-9457.0
2014-05-21,-9457.0
2014-05-22,-9857.0
2014-05-23,-9807.0
2014-05-27,-10107.0
2014-05-28,-10457.0
2014-05-29,-10457.0
2014-05-30,-10507.0
2014-06-02,-10507.0
2014-06-03,-10607.0
2014-06-04,-10557.0
2014-06-05,-10607.0
2014-06-06,-11207.0
2014-06-09,-11807.0
2014-06-10,-11630.0
2014-06-11,-11630.0
2014-06-12,-11630.0
2014-06-13,-11630.0
2014-06-16,-11630.0
2014-06-17,-11630.0
2014-06-18,-11630.0
2014-06-19,-11630.0
2014-06-20,-11630.0
2014-06-23,-11630.0
2014-06-24,-11630.0
2014-06-25,-11630.0
2014-06-26,-11630.0
2014-06-27,-11630.0
