,equity
2012-11-21,-3805.5
2012-11-23,-3805.5
2012-11-26,-3805.5
2012-11-27,-3805.5
2012-11-28,-3805.5
2012-11-29,-3805.5
2012-11-30,-3805.5
2012-12-03,-3805.5
2012-12-04,-3805.5
2012-12-05,-3805.5
2012-12-06,-3805.5
2012-12-07,-3805.5
2012-12-10,-3805.5
2012-12-11,-3805.5
2012-12-12,-3805.5
2012-12-13,-3805.5
2012-12-14,-3805.5
2012-12-17,-3805.5
2012-12-18,-3805.5
2012-12-19,-3805.5
2012-12-20,-3805.5
2012-12-21,-3805.5
2012-12-24,-3805.5
2012-12-26,-3805.5
2012-12-27,-3805.5
2012-12-28,-3805.5
2012-12-31,-3808.5
2013-01-02,-5533.5
2013-01-03,-5624.0
2013-01-04,-5627.0
2013-01-07,-5380.0
2013-01-08,-5380.0
2013-01-09,-5380.0
2013-01-10,-5380.0
2013-01-11,-5380.0
2013-01-14,-5380.0
2013-01-15,-5380.0
2013-01-16,-5380.0
2013-01-17,-5380.0
2013-01-18,-5380.0
2013-01-22,-5380.0
2013-01-23,-5380.0
2013-01-24,-5380.0
2013-01-25,-5380.0
2013-01-28,-5380.0
2013-01-29,-5380.0
2013-01-30,-5380.0
2013-01-31,-5380.0
2013-02-01,-5380.0
2013-02-04,-5380.0
2013-02-05,-5380.0
2013-02-06,-5380.0
2013-02-07,-5380.0
2013-02-08,-5380.0
2013-02-11,-5383.0
2013-02-12,-5448.5
2013-02-13,-5448.5
2013-02-14,-5451.5
2013-02-15,-5351.5
2013-02-19,-5876.5
2013-02-20,-5126.5
2013-02-21,-4639.0
2013-02-22,-5126.5
2013-02-25,-4276.5
2013-02-26,-4376.5
2013-02-27,-5401.5
2013-02-28,-5464.0
2013-03-01,-5329.5
2013-03-04,-5332.5
2013-03-05,-6207.5
2013-03-06,-6198.0
2013-03-07,-6201.0
2013-03-08,-6588.5
2013-03-11,-6726.0
2013-03-12,-6613.5
2013-03-13,-6744.5
2013-03-14,-7169.5
2013-03-15,-7019.5
2013-03-18,-6560.0
2013-03-19,-6563.0
2013-03-20,-7313.0
2013-03-21,-6600.5
2013-03-22,-6963.0
2013-03-25,-6716.0
2013-03-26,-6716.0
2013-03-27,-6716.0
2013-03-28,-6716.0
2013-03-29,-6716.0
2013-04-01,-6716.0
2013-04-02,-6716.0
2013-04-03,-6716.0
2013-04-04,-6716.0
2013-04-05,-6716.0
2013-04-08,-6716.0
2013-04-09,-6716.0
2013-04-10,-6716.0
2013-04-11,-6716.0
2013-04-12,-6716.0
2013-04-15,-6716.0
2013-04-16,-6716.0
2013-04-17,-6716.0
2013-04-18,-6716.0
2013-04-19,-6716.0
2013-04-22,-6716.0
2013-04-23,-6716.0
2013-04-24,-6716.0
2013-04-25,-6716.0
