date,equity,delta
2013-02-19,12675.0,1.0
2013-02-20,11925.0,1.0
2013-02-21,11437.5,1.0
2013-02-22,11925.0,1.0
2013-02-25,11075.0,1.0
2013-02-26,11175.0,1.0
2013-02-27,12200.0,1.0
2013-02-28,12262.5,1.0
2013-03-01,12125.0,1.0
2013-03-04,12437.5,1.0
2013-03-05,13312.5,1.0
2013-03-06,13300.0,1.0
2013-03-07,13500.0,1.0
2013-03-08,13887.5,1.0
2013-03-11,14025.0,1.0
2013-03-12,13912.5,1.0
2013-03-13,14037.5,1.0
2013-03-14,14462.5,1.0
2013-03-15,14312.5,1.0
2013-03-18,13850.0,1.0
2013-03-19,13612.5,1.0
2013-03-20,14362.5,1.0
2013-03-21,13650.0,1.0
2013-03-22,14012.5,1.0
2013-03-25,13762.5,1.0
2013-03-26,14512.5,1.0
2013-03-27,14475.0,1.0
2013-03-28,13462.5,1.0
2013-03-29,14800.0,1.0
2013-04-01,14375.0,1.0
2013-04-02,14600.0,1.0
2013-04-03,14025.0,1.0
2013-04-04,14275.0,1.0
2013-04-05,13937.5,1.0
2013-04-08,14400.0,1.0
2013-04-09,14825.0,1.0
2013-04-10,15800.0,1.0
2013-04-11,16025.0,1.0
2013-04-12,15762.5,1.0
2013-04-15,14200.0,1.0
2013-04-16,15037.5,1.0
2013-04-17,13950.0,1.0
2013-04-18,13450.0,1.0
2013-04-19,14125.0,1.0
2013-04-22,14512.5,1.0
2013-04-23,15237.5,1.0
2013-04-24,15337.5,1.0
2013-04-25,15700.0,1.0
2013-04-26,15612.5,1.0
2013-04-29,16112.5,1.0
2013-04-30,16187.5,1.0
2013-05-01,15475.0,1.0
2013-05-02,16250.0,1.0
2013-05-03,17200.0,1.0
2013-05-06,17325.0,1.0
2013-05-07,17687.5,1.0
2013-05-08,18025.0,1.0
2013-05-09,17750.0,1.0
2013-05-10,18012.5,1.0
2013-05-13,18150.0,1.0
2013-05-14,19000.0,1.0
2013-05-15,19412.5,1.0
2013-05-16,19037.5,1.0
2013-05-17,19862.5,1.0
2013-05-20,19800.0,1.0
2013-05-21,19975.0,1.0
2013-05-22,19150.0,1.0
2013-05-23,19025.0,1.0
2013-05-24,18787.5,1.0
2013-05-28,19612.5,1.0
2013-05-29,19012.5,1.0
2013-05-30,19437.5,1.0
2013-05-31,18575.0,1.0
2013-06-03,18437.5,1.0
2013-06-04,18312.5,1.0
2013-06-05,17137.5,1.0
2013-06-06,17512.5,1.0
2013-06-07,18600.0,1.0
2013-06-10,18737.5,1.0
2013-06-11,17875.0,1.0
2013-06-12,17287.5,1.0
2013-06-13,18475.0,1.0
2013-06-14,17887.5,1.0
2013-06-17,18512.5,1.0
2013-06-18,19187.5,1.0
2013-06-19,18300.0,1.0
2013-06-20,18300.0,1.0
2013-06-21,18300.0,1.0
2013-06-24,18300.0,1.0
2013-06-25,18300.0,1.0
2013-06-26,18300.0,1.0
2013-06-27,18300.0,1.0
2013-06-28,18300.0,1.0
2013-07-01,18300.0,1.0
2013-07-02,18300.0,1.0
2013-07-03,18300.0,1.0
2013-07-05,18300.0,1.0
2013-07-08,18300.0,1.0
2013-07-09,18300.0,1.0
2013-07-10,18300.0,1.0
2013-07-11,18300.0,1.0
2013-07-12,18300.0,1.0
2013-07-15,18300.0,1.0
2013-07-16,18300.0,1.0
2013-07-17,18300.0,1.0
2013-07-18,18300.0,1.0
2013-07-19,18300.0,1.0
2013-07-22,18300.0,1.0
2013-07-23,18300.0,1.0
2013-07-24,18300.0,1.0
2013-07-25,18300.0,1.0
2013-07-26,18300.0,1.0
2013-07-29,18300.0,1.0
2013-07-30,18300.0,1.0
2013-07-31,18300.0,1.0
2013-08-01,18300.0,1.0
2013-08-02,18300.0,1.0
2013-08-05,18300.0,1.0
2013-08-06,18300.0,1.0
2013-08-07,21050.0,1.0
2013-08-08,21350.0,1.0
2013-08-09,21025.0,1.0
2013-08-12,20925.0,1.0
2013-08-13,21175.0,1.0
2013-08-14,20787.5,1.0
2013-08-15,19587.5,1.0
2013-08-16,19412.5,1.0
2013-08-19,18862.5,1.0
2013-08-20,19262.5,1.0
2013-08-21,18812.5,1.0
2013-08-22,19412.5,1.0
2013-08-23,19662.5,1.0
2013-08-26,19500.0,1.0
2013-08-27,18025.0,1.0
2013-08-28,18400.0,1.0
2013-08-29,18437.5,1.0
2013-08-30,18000.0,1.0
2013-09-03,18512.5,1.0
2013-09-04,19162.5,1.0
2013-09-05,19275.0,1.0
2013-09-06,19437.5,1.0
2013-09-09,20087.5,1.0
2013-09-10,20662.5,1.0
2013-09-11,20862.5,1.0
2013-09-12,20762.5,1.0
2013-09-13,20937.5,1.0
2013-09-16,21400.0,1.0
2013-09-17,21825.0,1.0
2013-09-18,22875.0,1.0
2013-09-19,22775.0,1.0
2013-09-20,22137.5,1.0
2013-09-23,21762.5,1.0
2013-09-24,21587.5,1.0
2013-09-25,21325.0,1.0
2013-09-26,21412.5,1.0
2013-09-27,21175.0,1.0
2013-09-30,20650.0,1.0
2013-10-01,21125.0,1.0
2013-10-02,21162.5,1.0
2013-10-03,20687.5,1.0
2013-10-04,21087.5,1.0
2013-10-07,20575.0,1.0
2013-10-08,19662.5,1.0
2013-10-09,19525.0,1.0
2013-10-10,21225.0,1.0
2013-10-11,21662.5,1.0
2013-10-15,21600.0,1.0
2013-10-16,22637.5,1.0
2013-10-17,23275.0,1.0
2013-10-18,23800.0,1.0
2013-10-21,23825.0,1.0
2013-10-22,24450.0,1.0
2013-10-23,23987.5,1.0
2013-10-24,24250.0,1.0
2013-10-25,24587.5,1.0
2013-10-28,24725.0,1.0
2013-10-29,25200.0,1.0
2013-10-30,24950.0,1.0
2013-10-31,24787.5,1.0
2013-11-01,24812.5,1.0
2013-11-04,25012.5,1.0
2013-11-05,24937.5,1.0
2013-11-06,25175.0,1.0
2013-11-07,24125.0,1.0
2013-11-08,25175.0,1.0
2013-11-12,25137.5,1.0
2013-11-13,25737.5,1.0
2013-11-14,26375.0,1.0
2013-11-15,26600.0,1.0
2013-11-18,26287.5,1.0
2013-11-19,26212.5,1.0
2013-11-20,25887.5,1.0
2013-11-21,26612.5,1.0
2013-11-22,27100.0,1.0
2013-11-25,26962.5,1.0
2013-11-26,27150.0,1.0
2013-11-27,27262.5,1.0
2013-11-29,27150.0,1.0
2013-12-02,26900.0,1.0
2013-12-03,26500.0,1.0
2013-12-04,26687.5,1.0
2013-12-05,26137.5,1.0
2013-12-06,27062.5,1.0
2013-12-09,27350.0,1.0
2013-12-10,27100.0,1.0
2013-12-11,25975.0,1.0
2013-12-12,25800.0,1.0
2013-12-13,25787.5,1.0
2013-12-16,26337.5,1.0
2013-12-17,26025.0,1.0
2013-12-18,27437.5,1.0
2013-12-19,27375.0,1.0
2013-12-20,27950.0,1.0
2013-12-23,28337.5,1.0
2013-12-24,28712.5,1.0
2013-12-26,29125.0,1.0
2013-12-27,29062.5,1.0
2013-12-30,28975.0,1.0
2013-12-31,29350.0,1.0
2014-01-02,28587.5,1.0
2014-01-03,28650.0,1.0
2014-01-06,28400.0,1.0
2014-01-07,28912.5,1.0
2014-01-08,28775.0,1.0
2014-01-09,28875.0,1.0
2014-01-10,29050.0,1.0
2014-01-13,27800.0,1.0
2014-01-14,28875.0,1.0
2014-01-15,29412.5,1.0
2014-01-16,29175.0,1.0
2014-01-17,28787.5,1.0
2014-01-21,29150.0,1.0
2014-01-22,29300.0,1.0
2014-01-23,28350.0,1.0
2014-01-24,26637.5,1.0
2014-01-27,26312.5,1.0
2014-01-28,26612.5,1.0
2014-01-29,25812.5,1.0
2014-01-30,26750.0,1.0
2014-01-31,26175.0,1.0
2014-02-03,24037.5,1.0
2014-02-04,24775.0,1.0
2014-02-05,24687.5,1.0
2014-02-06,25687.5,1.0
2014-02-07,26925.0,1.0
2014-02-10,26962.5,1.0
2014-02-11,28112.5,1.0
2014-02-12,28037.5,1.0
2014-02-13,28525.0,1.0
2014-02-14,28987.5,1.0
2014-02-18,29137.5,1.0
2014-02-19,28537.5,1.0
2014-02-20,29175.0,1.0
2014-02-21,29087.5,1.0
2014-02-24,29687.5,1.0
2014-02-25,29250.0,1.0
2014-02-26,29362.5,1.0
2014-02-27,29787.5,1.0
2014-02-28,30037.5,1.0
2014-03-03,29375.0,1.0
2014-03-04,30925.0,1.0
2014-03-05,30837.5,1.0
2014-03-06,31087.5,1.0
2014-03-07,30975.0,1.0
2014-03-10,31075.0,1.0
2014-03-11,30487.5,1.0
2014-03-12,30500.0,1.0
2014-03-13,29637.5,1.0
2014-03-14,29362.5,1.0
2014-03-17,30075.0,1.0
2014-03-18,30775.0,1.0
2014-03-19,30412.5,1.0
2014-03-20,30800.0,1.0
2014-03-21,30475.0,1.0
2014-03-24,30275.0,1.0
2014-03-25,30575.0,1.0
2014-03-26,30075.0,1.0
2014-03-27,29712.5,1.0
2014-03-28,30087.5,1.0
2014-03-31,30925.0,1.0
2014-04-01,31462.5,1.0
2014-04-02,31862.5,1.0
2014-04-03,31750.0,1.0
2014-04-04,30600.0,1.0
2014-04-07,29687.5,1.0
2014-04-08,29950.0,1.0
2014-04-09,30837.5,1.0
2014-04-10,29187.5,1.0
2014-04-11,28250.0,1.0
2014-04-14,28612.5,1.0
2014-04-15,29350.0,1.0
2014-04-16,30312.5,1.0
2014-04-17,30662.5,1.0
2014-04-18,30500.0,1.0
2014-04-21,30825.0,1.0
2014-04-22,31337.5,1.0
2014-04-23,31100.0,1.0
2014-04-24,31200.0,1.0
2014-04-25,30550.0,1.0
2014-04-28,30937.5,1.0
2014-04-29,31225.0,1.0
2014-04-30,31525.0,1.0
2014-05-01,31375.0,1.0
2014-05-02,31350.0,1.0
2014-05-05,31500.0,1.0
2014-05-06,30850.0,1.0
2014-05-07,31262.5,1.0
2014-05-08,31125.0,1.0
2014-05-09,31350.0,1.0
2014-05-12,32237.5,1.0
2014-05-13,32312.5,1.0
2014-05-14,31837.5,1.0
2014-05-15,31037.5,1.0
2014-05-16,31312.5,1.0
2014-05-19,31762.5,1.0
2014-05-20,31200.0,1.0
2014-05-21,31850.0,1.0
2014-05-22,32162.5,1.0
2014-05-23,32537.5,1.0
2014-05-27,33087.5,1.0
2014-05-28,33137.5,1.0
2014-05-29,33450.0,1.0
2014-05-30,33675.0,1.0
2014-06-02,33812.5,1.0
2014-06-03,33737.5,1.0
2014-06-04,33925.0,1.0
2014-06-05,34550.0,1.0
2014-06-06,34937.5,1.0
2014-06-09,35087.5,1.0
2014-06-10,35050.0,1.0
2014-06-11,34825.0,1.0
2014-06-12,34025.0,1.0
2014-06-13,34150.0,1.0
2014-06-16,34437.5,1.0
2014-06-17,34787.5,1.0
2014-06-18,35462.5,1.0
2014-06-19,35550.0,1.0
2014-06-20,35712.5,1.0
2014-06-23,35687.5,1.0
2014-06-24,35137.5,1.0
2014-06-25,35650.0,1.0
2014-06-26,35462.5,1.0
2014-06-27,35612.5,1.0
2014-06-30,35575.0,1.0
2014-07-01,36475.0,1.0
2014-07-02,36312.5,1.0
2014-07-03,36887.5,1.0
2014-07-07,36487.5,1.0
2014-07-08,35875.0,1.0
2014-07-09,36350.0,1.0
2014-07-10,35987.5,1.0
2014-07-11,36087.5,1.0
2014-07-14,36537.5,1.0
2014-07-15,36362.5,1.0
2014-07-16,36762.5,1.0
2014-07-17,35500.0,1.0
2014-07-18,36587.5,1.0
2014-07-21,36437.5,1.0
2014-07-22,36900.0,1.0
2014-07-23,37100.0,1.0
2014-07-24,37150.0,1.0
2014-07-25,36575.0,1.0
2014-07-28,36700.0,1.0
2014-07-29,36287.5,1.0
2014-07-30,36287.5,1.0
2014-07-31,34400.0,1.0
2014-08-01,34012.5,1.0
2014-08-04,34800.0,1.0
2014-08-05,33800.0,1.0
2014-08-06,33787.5,1.0
2014-08-07,33175.0,1.0
2014-08-08,34362.5,1.0
2014-08-11,34612.5,1.0
2014-08-12,34537.5,1.0
2014-08-13,35162.5,1.0
2014-08-14,35537.5,1.0
2014-08-15,35512.5,1.0
2014-08-18,36362.5,1.0
2014-08-19,36937.5,1.0
2014-08-20,37275.0,1.0
2014-08-21,37512.5,1.0
2014-08-22,37287.5,1.0
2014-08-25,37825.0,1.0
2014-08-26,37950.0,1.0
2014-08-27,37850.0,1.0
2014-08-28,37787.5,1.0
2014-08-29,38025.0,1.0
2014-09-02,38012.5,1.0
2014-09-03,37900.0,1.0
2014-09-04,37687.5,1.0
2014-09-05,38250.0,1.0
2014-09-08,38037.5,1.0
2014-09-09,37300.0,1.0
2014-09-10,37700.0,1.0
2014-09-11,37775.0,1.0
2014-09-12,37200.0,1.0
2014-09-15,37225.0,1.0
2014-09-16,38025.0,1.0
2014-09-17,38075.0,1.0
2014-09-18,38612.5,1.0
2014-09-19,38712.5,1.0
2014-09-22,37787.5,1.0
2014-09-23,37400.0,1.0
2014-09-24,37950.0,1.0
2014-09-25,36525.0,1.0
2014-09-26,37150.0,1.0
2014-09-29,36975.0,1.0
2014-09-30,36775.0,1.0
2014-10-01,35525.0,1.0
2014-10-02,35262.5,1.0
2014-10-03,36500.0,1.0
2014-10-06,36325.0,1.0
2014-10-07,35025.0,1.0
2014-10-08,36512.5,1.0
2014-10-09,34625.0,1.0
2014-10-10,33700.0,1.0
2014-10-14,32125.0,1.0
2014-10-15,31400.0,1.0
2014-10-16,31350.0,1.0
2014-10-17,32687.5,1.0
2014-10-20,33262.5,1.0
2014-10-21,35087.5,1.0
2014-10-22,34525.0,1.0
2014-10-23,35737.5,1.0
2014-10-24,36275.0,1.0
2014-10-27,36150.0,1.0
2014-10-28,37187.5,1.0
2014-10-29,37237.5,1.0
2014-10-30,37725.0,1.0
2014-10-31,38900.0,1.0
2014-11-03,38950.0,1.0
2014-11-04,38725.0,1.0
2014-11-05,39237.5,1.0
2014-11-06,39712.5,1.0
2014-11-07,39700.0,1.0
2014-11-10,40037.5,1.0
2014-11-12,40237.5,1.0
2014-11-13,40262.5,1.0
2014-11-14,40225.0,1.0
2014-11-17,40350.0,1.0
2014-11-18,40975.0,1.0
2014-11-19,40712.5,1.0
2014-11-20,40925.0,1.0
2014-11-21,41512.5,1.0
2014-11-24,41762.5,1.0
2014-11-25,41762.5,1.0
2014-11-26,41950.0,1.0
2014-11-28,41750.0,1.0
2014-12-01,41037.5,1.0
2014-12-02,41675.0,1.0
2014-12-03,42137.5,1.0
2014-12-04,41887.5,1.0
2014-12-05,42050.0,1.0
2014-12-08,41325.0,1.0
2014-12-09,41300.0,1.0
2014-12-10,39750.0,1.0
2014-12-11,40362.5,1.0
2014-12-12,38737.5,1.0
2014-12-15,38025.0,1.0
2014-12-16,37500.0,1.0
2014-12-17,39075.0,1.0
2014-12-18,41137.5,1.0
2014-12-19,42337.5,1.0
2014-12-22,42375.0,1.0
2014-12-23,42637.5,1.0
2014-12-24,42600.0,1.0
2014-12-26,43025.0,1.0
2014-12-29,43050.0,1.0
2014-12-30,42462.5,1.0
2014-12-31,41537.5,1.0
2015-01-02,41400.0,1.0
2015-01-05,39425.0,1.0
2015-01-06,38875.0,1.0
2015-01-07,39600.0,1.0
2015-01-08,41375.0,1.0
2015-01-09,40762.5,1.0
2015-01-12,39800.0,1.0
2015-01-13,39587.5,1.0
2015-01-14,38987.5,1.0
2015-01-15,38262.5,1.0
2015-01-16,39275.0,1.0
2015-01-20,39575.0,1.0
2015-01-21,40050.0,1.0
2015-01-22,41550.0,1.0
2015-01-23,41087.5,1.0
2015-01-26,41137.5,1.0
2015-01-27,40062.5,1.0
2015-01-28,38500.0,1.0
2015-01-29,39462.5,1.0
2015-01-30,38312.5,1.0
2015-02-02,39375.0,1.0
2015-02-03,40837.5,1.0
2015-02-04,40437.5,1.0
2015-02-05,41525.0,1.0
2015-02-06,41000.0,1.0
2015-02-09,40862.5,1.0
2015-02-10,41950.0,1.0
2015-02-11,41950.0,1.0
2015-02-12,42925.0,1.0
2015-02-13,43300.0,1.0
2015-02-17,43412.5,1.0
2015-02-18,43400.0,1.0
2015-02-19,43387.5,1.0
2015-02-20,44062.5,1.0
2015-02-23,43925.0,1.0
2015-02-24,44412.5,1.0
2015-02-25,44200.0,1.0
2015-02-26,44125.0,1.0
2015-02-27,43875.0,1.0
2015-03-02,44462.5,1.0
2015-03-03,43925.0,1.0
2015-03-04,43550.0,1.0
2015-03-05,43700.0,1.0
2015-03-06,42050.0,1.0
2015-03-09,42725.0,1.0
2015-03-10,41087.5,1.0
2015-03-11,40700.0,1.0
2015-03-12,41987.5,1.0
2015-03-13,41212.5,1.0
2015-03-16,42700.0,1.0
2015-03-17,42512.5,1.0
2015-03-18,43650.0,1.0
2015-03-19,43125.0,1.0
2015-03-20,44312.5,1.0
2015-03-23,44162.5,1.0
2015-03-24,43425.0,1.0
2015-03-25,41862.5,1.0
2015-03-26,41600.0,1.0
2015-03-27,41737.5,1.0
2015-03-30,43112.5,1.0
2015-03-31,42200.0,1.0
2015-04-01,41525.0,1.0
2015-04-02,42187.5,1.0
2015-04-03,41087.5,1.0
2015-04-06,42812.5,1.0
2015-04-07,42687.5,1.0
2015-04-08,42800.0,1.0
2015-04-09,43300.0,1.0
2015-04-10,43850.0,1.0
2015-04-13,43462.5,1.0
2015-04-14,43575.0,1.0
2015-04-15,44087.5,1.0
2015-04-16,44025.0,1.0
2015-04-17,42850.0,1.0
2015-04-20,43775.0,1.0
2015-04-21,43600.0,1.0
2015-04-22,44162.5,1.0
2015-04-23,44575.0,1.0
2015-04-24,44662.5,1.0
2015-04-27,44187.5,1.0
2015-04-28,44487.5,1.0
2015-04-29,44137.5,1.0
2015-04-30,42875.0,1.0
2015-05-01,44087.5,1.0
2015-05-04,44587.5,1.0
2015-05-05,43350.0,1.0
2015-05-06,42525.0,1.0
2015-05-07,43175.0,1.0
2015-05-08,44675.0,1.0
2015-05-11,44262.5,1.0
2015-05-12,43900.0,1.0
2015-05-13,43825.0,1.0
2015-05-14,44862.5,1.0
2015-05-15,44987.5,1.0
2015-05-18,45425.0,1.0
2015-05-19,45262.5,1.0
2015-05-20,45300.0,1.0
2015-05-21,45625.0,1.0
2015-05-22,45400.0,1.0
2015-05-26,44200.0,1.0
2015-05-27,45225.0,1.0
2015-05-28,45037.5,1.0
2015-05-29,44562.5,1.0
2015-06-01,44637.5,1.0
2015-06-02,44462.5,1.0
2015-06-03,44762.5,1.0
2015-06-04,43737.5,1.0
2015-06-05,43612.5,1.0
2015-06-08,43137.5,1.0
2015-06-09,43000.0,1.0
2015-06-10,44387.5,1.0
2015-06-11,44537.5,1.0
2015-06-12,43800.0,1.0
2015-06-15,43350.0,1.0
2015-06-16,43900.0,1.0
2015-06-17,44162.5,1.0
2015-06-18,45262.5,1.0
2015-06-19,44725.0,1.0
2015-06-22,45262.5,1.0
2015-06-23,45362.5,1.0
2015-06-24,44662.5,1.0
2015-06-25,44287.5,1.0
2015-06-26,44187.5,1.0
2015-06-29,41987.5,1.0
2015-06-30,42362.5,1.0
2015-07-01,42862.5,1.0
